Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	aP (1/K)	kT (1/Pa)
595.3	60	155.15	0.0064454	20.567	26.771	80.638	44.908	57.7	832.49	-0.11095	26.84	0.11332	0.00157583955842	0.01194929460098
596.95	60	154.75	0.0064622	20.646	26.866	80.798	44.999	57.768	832.75	-0.11155	26.845	0.11357	0.00157107185904	0.01196257101323
598.6	60	154.35	0.0064789	20.725	26.962	80.957	45.09	57.836	833	-0.11214	26.85	0.11382	0.00156636571433	0.01197626444833
600.25	60	153.95	0.0064957	20.805	27.057	81.116	45.181	57.904	833.27	-0.11274	26.856	0.11407	0.00156164022672	0.01198951294343
601.9	60	153.55	0.0065124	20.884	27.153	81.276	45.273	57.972	833.53	-0.11334	26.861	0.11432	0.0015568971824	0.01200291465757
603.55	60	153.16	0.0065291	20.964	27.248	81.434	45.364	58.041	833.8	-0.11394	26.867	0.11457	0.00155226790491	0.01201584743182
605.2	60	152.77	0.0065459	21.043	27.344	81.593	45.455	58.109	834.08	-0.11454	26.873	0.11482	0.00154756326624	0.01202841063121
606.85	60	152.38	0.0065626	21.123	27.44	81.751	45.546	58.178	834.35	-0.11513	26.879	0.11508	0.00154299297421	0.01204159553784
608.5	60	151.99	0.0065793	21.203	27.536	81.909	45.637	58.247	834.63	-0.11573	26.886	0.11534	0.00153843326974	0.01205461868601
610.15	60	151.61	0.006596	21.283	27.632	82.067	45.728	58.316	834.92	-0.11633	26.893	0.11559	0.00153383352198	0.01206668410819
611.8	60	151.23	0.0066127	21.364	27.729	82.225	45.819	58.385	835.2	-0.11692	26.899	0.11585	0.00152928094043	0.01207916057416
613.45	60	150.84	0.0066293	21.444	27.825	82.382	45.909	58.454	835.49	-0.11752	26.906	0.11611	0.00152487804491	0.01209253536498
615.1	60	150.47	0.006646	21.524	27.922	82.539	46	58.524	835.78	-0.11812	26.914	0.11637	0.00152038706134	0.0121043730583
616.75	60	150.09	0.0066627	21.605	28.018	82.696	46.091	58.593	836.08	-0.11871	26.921	0.11663	0.00151588286785	0.01211663922535
618.4	60	149.72	0.0066793	21.686	28.115	82.853	46.182	58.663	836.37	-0.11931	26.929	0.11689	0.00151145911373	0.01212871581369
620.05	60	149.34	0.006696	21.766	28.212	83.009	46.272	58.732	836.67	-0.1199	26.936	0.11715	0.00150708743531	0.01214148975735
621.7	60	148.97	0.0067126	21.847	28.309	83.165	46.363	58.802	836.98	-0.12049	26.944	0.11742	0.00150268249721	0.01215322641954
623.35	60	148.6	0.0067293	21.928	28.406	83.321	46.453	58.872	837.28	-0.12108	26.953	0.11768	0.00149838802523	0.01216563490857
625	60	148.24	0.0067459	22.01	28.503	83.477	46.544	58.942	837.59	-0.12168	26.961	0.11795	0.00149398683527	0.01217678927901
